"","x"
"1901",36.16
"1902",41
"1903",333.261
"1904",120.778
"1905",36.746
"1906",8
"1907",21
"1908",343.971
"1909",417.953
"1910",51.165
"1911",30.795
"1912",NA
"1913",406.955
"1914",24
"1915",46.138
"1916",32
"1917",15
"1918",135.803
"1919",38.761
"1920",26
"1921",24
"1922",33
"1923",151.849
"1924",219.741
"1925",36
"1926",330.653
"1927",83.407
"1928",1
"1929",122.469
"1930",51.808
"1931",162.685
"1932",179.031
"1933",47
"1934",330.653
"1935",57.538
"1936",22
"1937",43
"1938",35.401
"1939",49.03
"1940",40.247
"1941",25
"1942",33
"1943",222.386
"1944",40.247
"1945",49.03
"1946",21
"1947",43
"1948",20
"1949",417.953
"1950",7
"1951",83.493
"1952",192.167
"1953",28
"1954",18.325
"1955",35
"1956",90.152
"1957",634.009
"1958",63.029
"1959",23
"1960",NA
"1961",634.009
"1962",73.186
"1963",47
"1964",87.54
"1965",315.135
"1966",489.974
"1967",178.081
"1968",83.407
"1969",51.165
"1970",87.54
"1971",384.494
"1972",178.081
"1973",35.654
"1974",120.778
"1975",330.653
"1976",57.538
"1977",24.586
"1978",1363.639
"1979",162.685
"1980",36.665
"1981",32
"1982",489.974
"1983",384.494
"1984",53.998
"1985",19
"1986",46.138
"1987",417.953
"1988",1
"1989",47
"1990",36.665
"1991",30.795
"1992",299.851
"1993",162.685
"1994",384.494
"1995",365.371
"1996",343.971
"1997",1363.639
"1998",1776.186
"1999",710.351
"2000",924.53
"2001",107.113
"2002",49.03
"2003",32
"2004",16
"2005",634.009
"2006",36
"2007",38
"2008",222.716
"2009",65.606
"2010",10
"2011",1
"2012",269.694
"2013",35
"2014",6
"2015",51.752
"2016",150.689
"2017",48
"2018",83.407
"2019",179.031
"2020",384.494
"2021",83.493
"2022",103.922
"2023",177.114
"2024",118.714
"2025",132.156
"2026",29
"2027",86.984
"2028",33.363
"2029",44
"2030",211.802
"2031",121.042
"2032",25.682
"2033",489.974
"2034",18
"2035",132.41
"2036",39
"2037",66.555
"2038",8
"2039",35
"2040",13
"2041",406.955
"2042",133.681
"2043",38
"2044",38.048
